kpi_metric_id,task_id,resource_ids,task_weight,resource_weight
3,11,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]",0.2867960836700438,"[0.03330649808049202, 0.001027823775075376, 0.021447177976369858, 0.012662459164857864, 0.02369740605354309, 0.029256371781229973, 0.028667302802205086, 0.01201152615249157, 0.026249133050441742, 0.018989941105246544, 0.030427180230617523, 0.02780410461127758, 0.03148438408970833, 0.012239639647305012, 0.010247032158076763, 0.024739250540733337, 0.023733550682663918, 0.010672276839613914, 0.018093444406986237, 0.017092041671276093, 0.028210101649165154, 0.01988559402525425, 0.01918819546699524, 0.0074196248315274715, 0.04282330721616745, 0.012560062110424042, 0.022660158574581146, 0.029485778883099556, 0.02362530305981636, 0.025151018053293228, 0.009120510891079903, 0.012975902296602726, 0.0057070436887443066, 0.022170918062329292, 0.019127102568745613, 0.009327948093414307, 0.026342736557126045, 0.004702267237007618, 0.010559284128248692, 0.027737334370613098, 0.01648111455142498, 0.012255202978849411, 0.018599605187773705, 0.01939343847334385, 0.04233446344733238, 0.020189886912703514, 0.038743793964385986, 0.036373790353536606, 0.03272489830851555, 0.011302369646728039]"
3,12,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]",0.323311001621043,"[0.015083638951182365, 0.022321952506899834, 0.025255242362618446, 0.027900001034140587, 0.005920040421187878, 0.0400940366089344, 0.024310635402798653, 0.02527160383760929, 0.05049654096364975, 0.02704392746090889, 0.0119104515761137, 0.018199417740106583, 0.01183030754327774, 0.015366047620773315, 0.01903800293803215, 0.017884189262986183, 0.008472067303955555, 0.016604121774435043, 0.026172298938035965, 0.02448551543056965, 0.029840394854545593, 0.031288232654333115, 0.008497895672917366, 0.02259938046336174, 0.020496366545557976, 0.01668386347591877, 0.02558511309325695, 0.014673435129225254, 0.009736546315252781, 0.016987208276987076, 0.023777911439538002, 0.008090542629361153, 0.014959914609789848, 0.012460821308195591, 0.038800355046987534, 0.028714025393128395, 0.027969269081950188, 0.011925261467695236, 0.03174974396824837, 0.02759462222456932, 0.028779592365026474, 0.017367010936141014, 0.015398143790662289, 0.005379609763622284, 0.014689372852444649, 0.009314286522567272, 0.00803726352751255, 0.010180589742958546, 0.007617277558892965, 0.033263370394706726]"
3,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]",0.0193143956548406,"[0.018670396879315376, 0.03172389790415764, 0.022026486694812775, 0.030565708875656128, 0.01833423785865307, 0.03370998799800873, 0.024616707116365433, 0.010102896019816399, 0.029434651136398315, 0.01155822817236185, 0.014999115839600563, 0.02389165200293064, 0.015372511930763721, 0.008371766656637192, 0.02694244496524334, 0.0011179279536008835, 0.01066479180008173, 0.019554924219846725, 0.03165196627378464, 0.004387452267110348, 0.010688558220863342, 0.001460317405872047, 0.007940029725432396, 0.05069185048341751, 0.004870234988629818, 0.013578654266893864, 0.013746660202741623, 0.016573090106248856, 0.03822275996208191, 0.05275893211364746, 0.0108871478587389, 0.0037482574116438627, 0.008776271715760231, 0.041665080934762955, 0.01732734963297844, 0.015272318385541439, 0.024064350873231888, 0.03360102325677872, 0.00653328001499176, 0.022398147732019424, 0.013812568970024586, 0.02504594810307026, 0.0314500592648983, 0.018469352275133133, 0.02141422964632511, 0.02230929769575596, 0.03945629671216011, 0.023639338091015816, 0.015847856178879738, 0.018968548625707626]"
3,14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]",0.2905325977372597,"[0.03039785847067833, 0.015311000868678093, 0.010278865694999695, 0.02123168110847473, 0.024843590334057808, 0.01894572749733925, 0.02577373757958412, 0.02024570293724537, 0.028581397607922554, 0.01825208030641079, 0.029962237924337387, 0.02506621740758419, 0.04316802695393562, 0.03231903538107872, 0.028143173083662987, 0.037369802594184875, 0.01835041120648384, 0.0036674158181995153, 0.007818374782800674, 0.008299550972878933, 0.020813191309571266, 0.010119127109646797, 0.019044116139411926, 0.0065165432170033455, 0.011051895096898079, 0.013235812075436115, 0.0007890114793553948, 0.020148582756519318, 0.03287605568766594, 0.01961558684706688, 0.019679764285683632, 0.016030963510274887, 0.027744721621274948, 0.03726094961166382, 0.02344757691025734, 0.0073840320110321045, 0.02568093128502369, 0.01631884090602398, 0.030920322984457016, 0.015620323829352856, 0.025960756465792656, 0.030634811148047447, 0.012978117913007736, 0.030339285731315613, 0.01104297861456871, 0.012148701585829258, 0.01834067516028881, 0.009611566551029682, 0.02593756839632988, 0.01655883714556694]"
3,15,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]",0.0800459213168128,"[0.03330649808049202, 0.001027823775075376, 0.021447177976369858, 0.012662459164857864, 0.02369740605354309, 0.029256371781229973, 0.028667302802205086, 0.01201152615249157, 0.026249133050441742, 0.018989941105246544, 0.030427180230617523, 0.02780410461127758, 0.03148438408970833, 0.012239639647305012, 0.010247032158076763, 0.024739250540733337, 0.023733550682663918, 0.010672276839613914, 0.018093444406986237, 0.017092041671276093, 0.028210101649165154, 0.01988559402525425, 0.01918819546699524, 0.0074196248315274715, 0.04282330721616745, 0.012560062110424042, 0.022660158574581146, 0.029485778883099556, 0.02362530305981636, 0.025151018053293228, 0.009120510891079903, 0.012975902296602726, 0.0057070436887443066, 0.022170918062329292, 0.019127102568745613, 0.009327948093414307, 0.026342736557126045, 0.004702267237007618, 0.010559284128248692, 0.027737334370613098, 0.01648111455142498, 0.012255202978849411, 0.018599605187773705, 0.01939343847334385, 0.04233446344733238, 0.020189886912703514, 0.038743793964385986, 0.036373790353536606, 0.03272489830851555, 0.011302369646728039]"
4,16,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]",0.2103769028448181,"[0.025914713740348816, 0.023411870002746582, 0.013151302002370358, 0.01049690693616867, 0.017688512802124023, 0.022715289145708084, 0.012826032936573029, 0.017393849790096283, 0.04099063575267792, 0.0243057981133461, 0.04106077551841736, 0.00022872164845466614, 0.016580194234848022, 0.01994200609624386, 0.03492046520113945, 0.01754113659262657, 0.044185712933540344, 0.0030072657391428947, 0.02810797467827797, 0.018660733476281166, 0.017954807728528976, 0.021176720038056374, 0.030045870691537857, 0.006638168357312679, 0.04140293970704079, 0.007543917745351791, 0.02123686671257019, 0.020784853026270866, 0.010889934375882149, 0.019698671996593475, 0.009092369116842747, 0.015056116506457329, 0.015500176697969437, 0.02419004775583744, 0.015617848373949528, 0.03569628298282623, 0.011252284049987793, 0.02041889727115631, 0.02716214768588543, 0.01362749096006155, 0.017190249636769295, 0.016279306262731552, 0.021990027278661728, 0.006021691020578146, 0.035412028431892395, 0.015029821544885635, 0.014257006347179413, 0.037327252328395844, 0.024896036833524704, 0.013816369697451591]"
4,17,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]",0.012197481368776,"[0.03692741319537163, 0.00871254876255989, 0.027778388932347298, 0.026110637933015823, 0.019072985276579857, 0.024309420958161354, 0.018378255888819695, 0.020899496972560883, 0.028594201430678368, 0.009968698024749756, 0.015390926972031593, 0.03108074888586998, 0.006175892893224955, 0.013665351085364819, 0.027710363268852234, 0.03158322349190712, 0.028926268219947815, 0.01132456585764885, 0.008100058883428574, 0.017771223559975624, 0.009172732010483742, 0.007952569052577019, 0.028190743178129196, 0.01849554106593132, 0.017367267981171608, 0.027479900047183037, 0.0227336585521698, 0.00650030467659235, 0.011091717518866062, 0.029589733108878136, 0.028171483427286148, 0.006638715043663979, 0.041362229734659195, 0.009205693379044533, 0.010458081029355526, 0.03808373585343361, 0.03446267172694206, 0.040161024779081345, 0.014128502458333969, 0.03086000308394432, 0.031930044293403625, 0.009554308839142323, 0.02959790825843811, 0.00918582547456026, 0.013076442293822765, 0.021933168172836304, 0.01606631837785244, 0.01568765938282013, 0.029216086491942406, 0.03448643162846565]"
4,18,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]",0.3045736218028235,"[0.04279061406850815, 0.024418087676167488, 0.03159943222999573, 0.02502596750855446, 0.012001827359199524, 0.01014072634279728, 0.024769708514213562, 0.019056620076298714, 0.021038927137851715, 0.021397126838564873, 0.022602375596761703, 0.0035631880164146423, 0.022617105394601822, 0.019584152847528458, 0.005108351819217205, 0.029489587992429733, 0.03303441405296326, 0.011304277926683426, 0.008898129686713219, 0.008052189834415913, 0.0068282559514045715, 0.010291688144207, 0.012332076206803322, 0.02397109754383564, 0.013403914868831635, 0.028294390067458153, 0.03198147937655449, 0.034325432032346725, 0.02805704064667225, 0.013598558492958546, 0.026565292850136757, 0.028910553082823753, 0.029925793409347534, 0.014494743198156357, 0.029016854241490364, 0.02817697450518608, 0.011821649968624115, 0.005838376935571432, 0.02568250149488449, 0.01972608081996441, 0.00769973685964942, 0.018641870468854904, 0.019226567819714546, 0.026013527065515518, 0.016148259863257408, 0.03115491010248661, 0.020725591108202934, 0.011258084326982498, 0.02582368440926075, 0.02556847408413887]"
4,19,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]",0.2558741429662839,"[0.020371392369270325, 0.03219972178339958, 0.03096933290362358, 0.010390076786279678, 0.016378672793507576, 0.017603237181901932, 0.021856848150491714, 0.017455682158470154, 0.027162687852978706, 0.021877221763134003, 0.01703919842839241, 0.0339011512696743, 0.01281896885484457, 0.020875513553619385, 0.022706594318151474, 0.015637122094631195, 0.01762053184211254, 0.022573508322238922, 0.013793207705020905, 0.022967811673879623, 0.02561226300895214, 0.016727808862924576, 0.03515275567770004, 0.025117821991443634, 0.01931181363761425, 0.0016911092679947615, 0.004876334685832262, 0.03924974799156189, 0.03811975196003914, 0.02130078338086605, 0.019313698634505272, 0.007051756605505943, 0.02977989800274372, 0.013309987261891365, 0.014989441260695457, 0.0333125926554203, 0.03644544631242752, 0.041106920689344406, 0.012547314167022705, 0.010806255042552948, 0.02528518997132778, 0.00350067182444036, 0.020496435463428497, 0.02075209841132164, 0.025781672447919846, 0.013662333600223064, 0.0044183265417814255, 0.032534461468458176, 0.025520455092191696, 0.0070381066761910915]"
4,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]",0.2169778510172983,"[0.025914713740348816, 0.023411870002746582, 0.013151302002370358, 0.01049690693616867, 0.017688512802124023, 0.022715289145708084, 0.012826032936573029, 0.017393849790096283, 0.04099063575267792, 0.0243057981133461, 0.04106077551841736, 0.00022872164845466614, 0.016580194234848022, 0.01994200609624386, 0.03492046520113945, 0.01754113659262657, 0.044185712933540344, 0.0030072657391428947, 0.02810797467827797, 0.018660733476281166, 0.017954807728528976, 0.021176720038056374, 0.030045870691537857, 0.006638168357312679, 0.04140293970704079, 0.007543917745351791, 0.02123686671257019, 0.020784853026270866, 0.010889934375882149, 0.019698671996593475, 0.009092369116842747, 0.015056116506457329, 0.015500176697969437, 0.02419004775583744, 0.015617848373949528, 0.03569628298282623, 0.011252284049987793, 0.02041889727115631, 0.02716214768588543, 0.01362749096006155, 0.017190249636769295, 0.016279306262731552, 0.021990027278661728, 0.006021691020578146, 0.035412028431892395, 0.015029821544885635, 0.014257006347179413, 0.037327252328395844, 0.024896036833524704, 0.013816369697451591]"
