kpi_metric_id,task_id,resource_ids,task_weight,resource_weight
3,11,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.0206895628272031,"[0.05971071496605873, 0.013511380180716515, 0.029715951532125473, 0.05212937295436859, 0.02712019719183445, 0.056924883276224136, 0.05047675967216492, 0.02547534927725792, 0.09205576032400131, 0.0773039311170578, 0.016016438603401184, 0.06289823353290558, 0.08664822578430176, 0.05229026824235916, 0.0298837311565876, 0.0744604617357254, 0.07546358555555344, 0.07343382388353348, 0.024288810789585114, 0.0714416429400444]"
3,12,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.064533813855754,"[0.05575007572770119, 0.020123282447457314, 0.01622512936592102, 0.059940338134765625, 0.04007458686828613, 0.089373879134655, 0.03734542429447174, 0.0804796889424324, 0.015501005575060844, 0.0647503212094307, 0.014359776861965656, 0.09759212285280228, 0.0680660605430603, 0.02756013721227646, 0.061566077172756195, 0.0852181687951088, 0.032561637461185455, 0.10958294570446014, 0.10015439987182617, 0.027055833488702774]"
4,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.2129466568573007,"[0.05373864620923996, 0.01389381941407919, 0.02554873563349247, 0.05994728207588196, 0.04142114147543907, 0.07051737606525421, 0.060349393635988235, 0.08970418572425842, 0.029956253245472908, 0.046003323048353195, 0.08283855020999908, 0.09036311507225037, 0.06367376446723938, 0.024290243163704872, 0.07830178737640381, 0.0630088746547699, 0.0248540248721838, 0.10026496648788452, 0.04987547546625137, 0.037339143455028534]"
4,14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.468750172355333,"[0.03082451783120632, 0.07166406512260437, 0.0709436908364296, 0.050130486488342285, 0.03573477268218994, 0.014193093404173851, 0.032004933804273605, 0.06450548768043518, 0.0728670060634613, 0.02730448730289936, 0.08288943767547607, 0.06197225674986839, 0.01996632106602192, 0.05004824697971344, 0.06209685280919075, 0.07905134558677673, 0.041524291038513184, 0.07088171690702438, 0.05689746141433716, 0.059002771973609924]"
4,15,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.2061120770073254,"[0.08325647562742233, 0.0729944258928299, 0.044879116117954254, 0.06031609699130058, 0.08569394797086716, 0.007907913997769356, 0.034852560609579086, 0.05492211505770683, 0.05865415930747986, 0.07768243551254272, 0.04895665869116783, 0.0865686759352684, 0.050124816596508026, 0.038899146020412445, 0.03652385249733925, 0.05689827352762222, 0.018686523661017418, 0.010564949363470078, 0.0562930628657341, 0.04530271887779236]"
4,16,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.1121910937800408,"[0.024081621319055557, 0.08487147092819214, 0.04619556665420532, 0.03145721182227135, 0.06740271300077438, 0.07616303861141205, 0.07520022988319397, 0.07943549007177353, 0.07476978003978729, 0.07026062905788422, 0.08195708692073822, 0.018360678106546402, 0.027121296152472496, 0.02349703572690487, 0.08454892039299011, 0.052272554486989975, 0.03037266433238983, 0.043241508305072784, 0.013093088753521442, 0.0748167410492897]"
5,17,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.3654685976684095,"[0.07825849950313568, 0.05718439817428589, 0.04257237911224365, 0.07735998928546906, 0.041745297610759735, 0.06548009067773819, 0.0421864315867424, 0.07505516707897186, 0.045925527811050415, 0.06347187608480453, 0.0206526517868042, 0.0395577996969223, 0.06746654212474823, 0.0322418287396431, 0.025309469550848007, 0.03779930621385574, 0.08994373679161072, 0.09784872829914093, 0.036661550402641296, 0.049086540937423706]"
5,18,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.3093843106702151,"[0.02645406872034073, 0.008273208513855934, 0.06862631440162659, 0.04424195736646652, 0.06509453803300858, 0.022425908595323563, 0.12438318133354187, 0.058769822120666504, 0.01369691826403141, 0.0840657651424408, 0.0367559939622879, 0.07883191108703613, 0.08440766483545303, 0.03122781217098236, 0.06388526409864426, 0.04440780729055405, 0.01732873171567917, 0.04657808691263199, 0.07393642514944077, 0.05457484722137451]"
5,19,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.1577182913661342,"[0.06791985780000687, 0.029941700398921967, 0.06868384033441544, 0.021853197365999222, 0.026042042300105095, 0.07885061949491501, 0.059379249811172485, 0.03036719374358654, 0.05817132443189621, 0.04813874512910843, 0.06422484666109085, 0.03136025741696358, 0.023636406287550926, 0.05597510188817978, 0.06582515686750412, 0.07604293525218964, 0.09949656575918198, 0.05846535786986351, 0.020881326869130135, 0.01505198236554861]"
5,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.1674288002952411,"[0.07354447990655899, 0.06936994194984436, 0.06506097316741943, 0.08362165838479996, 0.051715027540922165, 0.04636231064796448, 0.05448395758867264, 0.03802179545164108, 0.03957217186689377, 0.04615874961018562, 0.019317300990223885, 0.08079341053962708, 0.02264365926384926, 0.020270047709345818, 0.06944248825311661, 0.061985235661268234, 0.0596633180975914, 0.05038084834814072, 0.02135946787893772, 0.07670857012271881]"
